id,lat,long
16038,53.357117,-6.450073
16063,53.252739,-6.213941
16072,53.281775,-6.25699
16074,53.35567604,-6.280686691
16075,53.376138,-6.270498
16076,53.376104,-6.270346
16077,53.37105,-6.256125
16078,53.370295,-6.249907
16079,53.37121665,-6.247976208
16080,53.371873,-6.254467
16081,53.384959,-6.260253
16082,53.385026,-6.260253
16083,53.384994,-6.25962
16088,53.30133643,-6.222047744
16092,53.30385773,-6.217938599
16093,53.30422,-6.21788
16101,53.31105,-6.23618
16102,53.31102,-6.23592
16103,53.30963387,-6.22834557
16104,53.30839985,-6.225883303
16105,53.30682,-6.22236
16133,53.35083,-6.264809
16134,53.34999,-6.268061
16135,53.350137,-6.26946
16136,53.350379,-6.269649
16137,53.350909,-6.269926
16138,53.350876,-6.270484
16139,53.350736,-6.27077
16140,53.350552,-6.271339
16141,53.350325,-6.27266
16142,53.350032,-6.274378
16143,53.351344,-6.269626
16144,53.350389,-6.266095
16145,53.351918,-6.268844
16146,53.352029,-6.268934
16147,53.352758,-6.268643
16148,53.35158329,-6.265814519
16149,53.350931,-6.265171
16150,53.35133308,-6.263643312
16151,53.35138911,-6.263576257
16152,53.353011,-6.2645
16153,53.35319388,-6.264870381
16154,53.350234,-6.266548
16155,53.35351727,-6.265326357
16156,53.353986,-6.264364
16157,53.354433,-6.263313
16158,53.3530594,-6.261710739
16159,53.353739,-6.258886
16160,53.352825,-6.261723
16161,53.353925,-6.258261
16162,53.353834,-6.258066
16163,53.354194,-6.257198
16164,53.354104,-6.257088
16165,53.350332,-6.266873
16166,53.352604,-6.259177
16167,53.35225251,-6.259189462
16168,53.352234,-6.259014
16169,53.352376,-6.25945
16170,53.352213,-6.260165
16171,53.352256,-6.259444
16172,53.352094,-6.260688
16173,53.352086,-6.260096049
16174,53.350513,-6.265748
16175,53.349985,-6.267024
16176,53.350031,-6.267299
16177,53.349972,-6.267641
16178,53.349896,-6.267785
16179,53.350079,-6.267755
16180,53.348649,-6.266541
16181,53.347448,-6.266205
16182,53.347107,-6.266077
16183,53.346881,-6.265994
16184,53.346398,-6.265804
16185,53.346802,-6.263313
16186,53.347866,-6.264596
16187,53.348524,-6.264035
16188,53.34802,-6.263398
16189,53.347909,-6.263315
16190,53.348097,-6.262722
16191,53.347993,-6.262656
16192,53.34815,-6.262333
16193,53.348177,-6.262081
16194,53.348246,-6.261389
16195,53.348193,-6.260794
16196,53.348965,-6.260649
16197,53.348941,-6.260791
16198,53.349363,-6.2677
16199,53.347963,-6.267184
16200,53.348618,-6.267952
16201,53.348572,-6.267925
16202,53.349132,-6.268957
16203,53.348046,-6.268652
16204,53.347363,-6.268422
16205,53.347168,-6.26823
16206,53.346539,-6.267836
16207,53.346105,-6.271289
16208,53.346853,-6.272739
16209,53.345954,-6.275383
16210,53.346952,-6.277207
16211,53.347235,-6.27826
16212,53.346455,-6.279132
16213,53.347793,-6.279796
16214,53.349318,-6.277898
16215,53.349683,-6.277889
16216,53.350241,-6.258189
16217,53.34818,-6.25739
16218,53.348802,-6.256624
16219,53.349017,-6.2554
16220,53.349152,-6.254669
16221,53.349013,-6.254921
16222,53.348758,-6.255113
16223,53.348453,-6.255113
16224,53.349523,-6.252375
16225,53.350663,-6.254671
16226,53.350732,-6.254687
16227,53.351652,-6.252315
16228,53.35183,-6.251764
16229,53.351269,-6.250971
16230,53.351081,-6.252362
16231,53.352218,-6.249543
16232,53.349603,-6.249699
16233,53.349457,-6.248143
16234,53.349003,-6.243689
16235,53.348937,-6.243045
16236,53.347648,-6.243094
16237,53.347945,-6.257095
16238,53.350579,-6.239419
16239,53.350094,-6.232037
16240,53.33065604,-6.258733487
16241,53.33406544,-6.244788598
16242,53.33599382,-6.238308381
16243,53.33631414,-6.238522958
16244,53.33794773,-6.233233642
16245,53.33781961,-6.23334093
16246,53.33727508,-6.233673524
16247,53.34206026,-6.227654647
16248,53.34191934,-6.226581763
16249,53.34166312,-6.226485204
16250,53.34006811,-6.223588418
16251,53.33829276,-6.222625589
16252,53.335776,-6.220144462
16253,53.33333688,-6.216534041
16254,53.33238045,-6.215380859
16255,53.33229716,-6.215327214
16256,53.3322459,-6.21564908
16257,53.3312464,-6.251397561
16258,53.33112006,-6.251788996
16259,53.3312423,-6.252065515
16260,53.33157316,-6.252223682
16261,53.32562237,-6.265157126
16262,53.32525071,-6.265264414
16263,53.32463874,-6.265468262
16264,53.32496925,-6.26511178
16265,53.32405059,-6.266020965
16266,53.32353472,-6.265334319
16267,0,0
16268,53.32317265,-6.265387964
16269,53.32183491,-6.265852803
16272,53.31279628,-6.270248126
16273,53.31232836,-6.272994708
16274,53.3122899,-6.274024677
16275,0,0
16276,53.31737451,-6.270253323
16277,53.32162361,-6.26695957
16278,53.37067986,-6.207186878
16279,53.37070797,-6.207143879
16281,53.36857081,-6.194824409
16282,53.36408851,-6.195432767
16283,53.36017759,-6.205853652
16285,53.36749514,-6.227615923
16286,53.36459588,-6.22960411
16287,53.3708999,-6.238624379
16288,53.36324341,-6.25788264
16289,53.3629325,-6.258676909
16290,53.36275043,-6.258692667
16291,53.36072362,-6.260082386
16292,53.35941745,-6.259020232
16293,53.35917894,-6.25887271
16294,53.3588572,-6.254414879
16295,53.38593,-6.265629
16296,53.385802,-6.265393
16297,53.378926,-6.262212
16298,53.368724,-6.254653
16299,53.366938,-6.255377
16300,53.366881,-6.255715
16301,53.366989,-6.255607
16302,53.365385,-6.271541
16303,53.362196,-6.272989
16304,53.361966,-6.273011
16305,53.370462,-6.268424
16306,53.36185,-6.272517
16307,53.361121,-6.272496
16308,53.361095,-6.272946
16309,53.360916,-6.27241
16310,53.360506,-6.272517
16311,53.360775,-6.271187
16312,53.360583,-6.271573
16313,53.360429,-6.270672
16314,53.36016,-6.266423
16315,53.359882,-6.264631
16316,53.361172,-6.284233
16317,53.361208,-6.285015
16318,53.361828,-6.299822
16324,53.366699,-6.272117
16325,53.373309,-6.285789
16327,53.34051676,-6.236295509
16328,53.34229957,-6.237045145
16329,53.33033958,-6.231805533
16330,53.33017499,-6.231822632
16331,53.32993913,-6.232004017
16332,53.3297389,-6.232005358
16333,53.32841095,-6.2287049
16334,53.32916383,-6.231735796
16335,53.33087138,-6.233629435
16336,53.3338307,-6.244756496
16337,53.3333607,-6.243645977
16338,53.33306819,-6.242787167
16339,53.3333598,-6.244085943
16340,53.33316389,-6.243559979
16341,53.33157797,-6.246025097
16342,53.33166026,-6.246003136
16343,53.32866965,-6.238999888
16344,53.32474817,-6.240722453
16345,53.32446612,-6.240359768
16346,53.32264581,-6.237954455
16347,53.32244074,-6.237621862
16348,53.32200016,-6.236326355
16349,53.32183239,-6.235835468
16350,53.32107617,-6.234784042
16351,53.32084866,-6.234451449
16352,53.32371395,-6.250736564
16353,0,0
16354,53.32510152,-6.254975628
16355,53.32481316,-6.254085135
16356,53.32614782,-6.255865954
16357,53.32616424,-6.255972907
16358,53.32625726,-6.256048596
16359,53.357117,-6.450073
16360,53.34744525,-6.256035184
16361,53.34743965,-6.255310988
16362,53.347386,-6.253649
16363,53.34736369,-6.255093645
16364,53.34728,-6.257044
16366,53.34716,-6.257717
16367,53.347021,-6.258321
16368,53.346957,-6.254995
16369,53.346907,-6.292026
16370,53.34681519,-6.259323573
16371,53.34681,-6.258494
16372,53.34676395,-6.258835411
16373,53.346721,-6.258727
16374,53.346696,-6.297289
16375,53.346211,-6.241527
16376,53.346178,-6.259278
16377,53.346157,-6.261852
16378,53.346126,-6.293239
16379,53.34610055,-6.240105294
16380,53.346077,-6.26269
16381,53.3459283,-6.254014244
16382,53.3459121,-6.259302115
16383,53.345834,-6.259737
16384,53.345802,-6.256809
16385,53.34577,-6.260741
16386,53.345764,-6.237863
16387,53.345755,-6.259269
16388,53.345768,-6.267816
16389,53.345719,-6.261535
16390,53.345621,-6.262601
16391,53.345613,-6.264946
16392,53.345559,-6.235854
16393,53.34554061,-6.236020541
16394,53.34553831,-6.237997245
16395,53.34549,-6.264374
16396,53.345387,-6.265047
16397,53.345376,-6.267154
16398,53.345364,-6.264876
16399,53.34533,-6.239454
16400,53.345304,-6.259281
16402,53.34517,-6.265663
16403,53.345228,-6.255239
16404,53.34520115,-6.238295054
16405,53.34519154,-6.238096571
16406,53.34516983,-6.236059516
16407,53.345115,-6.266537
16408,53.34511263,-6.237727809
16409,53.34508266,-6.237227535
16410,53.34506354,-6.236940455
16411,53.34503782,-6.236111736
16412,53.345026,-6.266705
16413,53.345019,-6.270107
16414,53.34501175,-6.237641978
16415,53.345011,-6.263536
16416,53.345009,-6.235983
16417,53.3450081,-6.238152981
16418,53.345007,-6.263965
16419,53.34500029,-6.236209553
16420,53.344978,-6.236973
16421,53.344978,-6.264221
16422,53.344968,-6.267254
16423,53.34496416,-6.23570404
16424,53.344957,-6.272678
16425,53.344948,-6.249766
16426,53.34493304,-6.235261392
16427,53.344928,-6.263068
16428,53.344917,-6.234725
16429,53.3449146,-6.236226047
16430,53.34491,-6.262805
16431,53.3447663,-6.238174439
16432,53.344765,-6.268186
16433,53.34472988,-6.240652464
16434,53.344722,-6.268506
16435,53.344712,-6.267482
16436,53.344686,-6.267346
16437,53.34463,-6.236163
16438,53.34460868,-6.261077737
16439,53.34456795,-6.236184072
16440,53.344429,-6.267397
16441,53.344401,-6.23825
16442,53.344331,-6.233446
16443,53.344331,-6.267227
16444,53.34426,-6.264099
16445,53.34422207,-6.236285996
16446,53.34402731,-6.267555356
16447,53.3440203,-6.270140838
16448,53.343974,-6.249292
16449,53.34393,-6.264283
16450,53.34388124,-6.262090313
16451,53.34384,-6.262033
16452,53.343833,-6.249374
16453,53.343806,-6.261987
16454,53.343711,-6.260666
16455,53.343659,-6.261555
16456,53.34361217,-6.246998571
16457,53.343574,-6.27489
16458,53.343555,-6.249551
16459,53.3435293,-6.246593222
16460,53.343516,-6.288935
16461,53.343485,-6.264339
16462,53.343392,-6.238583
16463,53.343391,-6.264492
16464,53.343384,-6.24966
16465,53.343361,-6.249881
16466,53.343324,-6.2699
16467,53.34330992,-6.24543719
16468,53.34328733,-6.245280072
16469,53.343262,-6.275892
16470,53.343196,-6.280842
16471,53.343152,-6.27024
16472,53.343134,-6.281354
16473,53.343095,-6.262542
16474,53.34308673,-6.263338756
16475,53.34308,-6.263179
16476,53.343075,-6.263477
16477,53.343042,-6.263715
16478,53.343018,-6.238719
16479,53.34296623,-6.264381465
16480,53.342966,-6.264303
16481,53.342965,-6.242273
16482,53.342901,-6.27604
16483,53.342959,-6.276079
16484,53.342946,-6.262985
16485,53.3429236,-6.264491938
16486,53.342863,-6.277764
16487,53.34281761,-6.257429933
16488,53.342812,-6.262051
16489,53.3428051,-6.242170595
16490,53.34278868,-6.241961718
16491,53.342785,-6.260721
16492,53.342746,-6.264543
16493,53.342742,-6.263002
16494,53.342589,-6.238809
16495,53.342578,-6.271795
16496,53.34251445,-6.263154857
16497,53.342484,-6.264428
16498,53.3424469,-6.256302064
16499,53.342388,-6.263249
16500,53.3423348,-6.255525565
16501,53.34219338,-6.262598298
16502,53.342117,-6.262373
16503,53.342115,-6.262505
16504,53.34211151,-6.250619721
16505,53.3421005,-6.264298819
16506,53.34208989,-6.25083698
16507,53.34207,-6.264417
16508,53.342063,-6.264675
16509,53.341948,-6.263822
16510,53.341941,-6.261604
16511,53.341853,-6.252296
16512,53.341844,-6.250159
16514,53.341813,-6.252919
16515,53.34175,-6.25264
16516,53.341669,-6.274784
16517,53.341588,-6.255082
16518,53.341551,-6.275115
16519,53.34153181,-6.247025561
16520,53.341526,-6.271119
16521,53.341447,-6.255035
16522,53.34139429,-6.265127622
16523,53.341346,-6.263075
16524,53.341293,-6.250446
16525,53.341264,-6.272173
16526,53.34124856,-6.265398525
16527,53.341057,-6.262815
16528,53.34104818,-6.262534093
16529,53.341034,-6.267122
16530,53.34103,-6.259096
16531,53.341021,-6.263512
16532,53.340941,-6.250421
16534,53.34083269,-6.245606756
16535,53.34077274,-6.249777507
16536,53.34070868,-6.268713903
16537,53.340647,-6.263308
16538,53.34051271,-6.239386462
16539,53.340454,-6.264258
16540,53.34037718,-6.272168588
16541,53.340332,-6.265784
16542,53.34029141,-6.262397384
16543,53.34026669,-6.23952074
16544,53.34021404,-6.263805293
16545,53.34013722,-6.261706757
16546,53.34012806,-6.261292314
16547,53.34007591,-6.26097858
16548,53.34002832,-6.261033523
16549,53.339956,-6.260423
16550,53.339837,-6.260926
16551,53.33971118,-6.251729988
16552,53.33963271,-6.265800856
16553,53.33954623,-6.261195503
16554,53.33954032,-6.265793061
16555,53.339437,-6.246669
16556,53.339366,-6.241157
16557,53.339294,-6.266016
16558,53.339276,-6.257686
16559,53.33927,-6.245166
16560,53.339198,-6.273295
16561,53.339165,-6.261494
16562,53.339105,-6.272449
16563,53.339094,-6.256985
16564,53.33909,-6.263351
16565,53.338982,-6.256655
16566,53.338945,-6.244125
16567,53.33893887,-6.264456064
16568,53.338832,-6.262135
16569,53.338814,-6.243741
16570,53.338776,-6.300144
16571,53.338661,-6.266225
16572,53.338638,-6.266169
16573,53.338471,-6.292896
16574,53.33834491,-6.242889594
16575,53.33834031,-6.247862242
16576,53.338122,-6.253306
16577,53.338008,-6.255582
16578,53.337944,-6.252391
16579,53.33789,-6.248227
16580,53.33784704,-6.252051853
16581,53.337814,-6.240792
16582,53.33780625,-6.251821547
16583,53.337798,-6.269115
16584,53.33776625,-6.251626183
16585,53.337743,-6.266076
16586,53.33773012,-6.251461767
16587,53.33769699,-6.251271581
16589,53.33769059,-6.266124314
16590,53.33743684,-6.251083743
16591,53.337373,-6.265628
16592,53.33735997,-6.251689922
16593,53.33714696,-6.250332724
16594,53.337113,-6.244401
16595,53.33703165,-6.249981355
16596,53.337022,-6.244546
16597,53.336983,-6.272907
16598,53.336907,-6.252151
16599,53.336899,-6.272953
16600,53.33689711,-6.249616574
16601,53.336775,-6.248771
16602,53.33677449,-6.263247645
16603,53.336697,-6.249012
16604,53.336664,-6.243087
16605,53.336621,-6.265439
16606,53.33655,-6.265596
16607,53.336492,-6.265384
16608,53.33639102,-6.263397764
16609,53.336305,-6.265522
16610,53.336275,-6.257439
16611,53.33625008,-6.252448987
16612,53.336211,-6.265275
16613,53.33612976,-6.247771382
16614,53.3360739,-6.247674655
16615,53.33599382,-6.247562002
16616,53.33593,-6.265191
16617,53.33588401,-6.263446128
16618,53.335784,-6.265365
16619,53.335713,-6.251549
16620,53.335634,-6.265334
16621,53.335614,-6.265102
16622,53.335524,-6.250543
16623,53.335517,-6.250663
16624,53.335182,-6.265356
16625,53.335012,-6.265375
16626,53.334828,-6.265383
16627,53.33482684,-6.246308237
16628,53.334488,-6.265399
16629,53.3344105,-6.263041114
16630,53.334383,-6.255485
16631,53.33431991,-6.255329847
16632,53.334248,-6.265139
16633,53.334238,-6.265399
16634,53.33423,-6.290793
16635,53.334207,-6.290507
16636,53.33405904,-6.251697969
16637,53.33395553,-6.25631623
16638,53.333815,-6.251913
16639,53.333811,-6.264895
16640,53.33366,-6.258763
16641,53.333528,-6.27255
16642,53.33345865,-6.262858766
16643,53.33334488,-6.252405904
16644,53.33331745,-6.24942882
16645,53.332995,-6.252724
16646,53.332868,-6.265025
16647,53.332796,-6.262397
16648,53.33279279,-6.262547588
16649,53.332741,-6.263815
16650,53.33248888,-6.264794011
16651,53.332339,-6.253476
16652,53.332323,-6.274455
16653,53.331475,-6.26155
16654,53.330918,-6.258653
16657,0,0
16658,53.34077914,-6.255603265
16659,53.34187155,-6.2583835
16660,53.34094114,-6.25843178
16661,53.32836,-6.20865
16662,53.359428,-6.198314
16663,53.322348,-6.279313
16664,53.32692,-6.27762
16665,53.318333,-6.279215
16666,53.3116171,-6.282882798
16667,53.31463819,-6.28225646
16668,53.31259988,-6.282562232
16669,53.31178992,-6.274786424
16726,53.37063225,-6.20723214
16729,53.36699781,-6.201460026
16730,53.36410732,-6.195379458
16731,53.35949479,-6.198480343
16732,53.362984,-6.219412
16734,53.377608,-6.247111
16735,53.36978689,-6.230984777
16736,53.37053584,-6.238741726
16737,53.36324581,-6.243750751
16738,53.36355032,-6.257958077
16739,53.35690744,-6.232080124
16740,53.35655986,-6.232144665
16791,0,0
16794,53.348315,-6.281939
16795,53.350589,-6.281845
16796,53.351123,-6.282792
16797,53.351248,-6.282715
16798,53.351679,-6.283115
16799,53.353241,-6.285316
16800,53.356057,-6.287797
16801,53.348318,-6.295096
16802,53.3483363,-6.296359515
16803,53.34814851,-6.294488716
16804,53.34811787,-6.29400661
16805,53.34808447,-6.293262946
16859,53.38988895,-6.271857452
16893,53.34564,-6.27363
16894,53.345596,-6.27217
16895,53.345657,-6.271427
16896,53.345813,-6.270047
16897,0,0
16898,53.33803972,-6.277541136
16901,53.33209078,-6.264627683
16902,53.320666,-6.212954
16903,53.32361508,-6.265687156
16904,53.309898,-6.283592
16905,53.3109248,-6.28311615
16911,53.32833451,-6.232081759
16912,0,0
16913,53.35704651,-6.258800458
16914,53.3560659,-6.256528711
16915,53.35589416,-6.257318663
16916,53.35573888,-6.257514465
16917,53.327616,-6.235001
16918,53.34775303,-6.235402334
16919,53.34330854,-6.28163358
16920,53.34354817,-6.281370032
16921,53.3434649,-6.283952999
16922,53.34371836,-6.284922576
16923,53.34336857,-6.288452279
16924,53.34359666,-6.288007116
16925,53.34360717,-6.287414264
16926,53.34359666,-6.286270386
16927,53.34321509,-6.273218799
16928,53.34953509,-6.278929221
16930,53.34998236,-6.27449488
16931,53.350036,-6.268988305
16932,53.35598266,-6.265079593
16933,53.351456,-6.26992
16934,53.354628,-6.266351
16935,53.347636,-6.279034
16938,53.340738,-6.320072
16939,53.339821,-6.320891
16940,53.339267,-6.321478
16941,53.331594,-6.292
16942,53.33043819,-6.265433645
16943,53.3471066,-6.291590547
16944,0,0
16945,53.36274963,-6.25254035
16946,53.35961644,-6.195900058
16947,53.35905939,-6.195985889
16948,53.35923637,-6.19638009
16949,53.33250218,-6.256142389
16956,53.32830247,-6.230625319
16957,53.34805084,-6.275061476
16958,53.36055435,-6.270027682
16959,53.35525382,-6.246168721
16964,53.360752,-6.182304
16965,53.369817,-6.148736
16968,53.3420987,-6.308110189
16969,53.362345,-6.237273
16970,53.36200134,-6.237594411
16971,53.33792121,-6.277004695
16972,53.3520709,-6.263188552
16981,53.330496,-6.264248
16985,53.36338228,-6.303985119
25723,0,0
25724,53.356,-6.26131
25725,53.35592,-6.26083
25726,53.34847,-6.26849
25727,53.34994,-6.25132
25728,53.36236,-6.25905
25729,53.34917,-6.2707
25730,53.34022,-6.27425
25731,53.34044,-6.27799
25732,53.34111,-6.2786
25733,53.34157,-6.28426
25734,53.34128,-6.28373
25735,53.33326,-6.24967
25736,53.35813,-6.26913
25737,53.35816,-6.26901
25738,53.36954,-6.277403
25744,53.39430061,-6.394755053
25746,53.38943652,-6.390691507
25747,53.39041911,-6.388772344
25748,53.39111331,-6.387168383
25758,53.39512155,-6.389217591
25759,53.3933366,-6.389346337
25760,53.39184589,-6.389298057
25761,53.39057996,-6.393812131
25763,0,0
25766,53.381471,-6.175824
25767,53.380507,-6.175408
25768,53.380282,-6.177056
25770,53.33542,-6.266358
25771,53.350984,-6.24994
25772,53.341054,-6.272438
25773,53.359474,-6.287127
25774,53.39571,-6.439736
25775,53.395861,-6.439726
25776,53.395944,-6.439864
25778,53.345769,-6.245879
25779,53.34574,-6.245109
25780,53.362629,-6.27307
25781,53.369978,-6.259149
25782,53.344134,-6.277427
25783,53.344093,-6.27758
25784,53.349027,-6.229835
25785,53.348836,-6.229851
25786,53.348578,-6.229901
25787,53.348143,-6.229777
25788,53.348128,-6.229936
25789,53.347571,-6.229883
25790,53.347022,-6.230156
25791,53.347022,-6.230156
25792,53.347328,-6.234579
25793,53.326628,-6.257917
25794,53.313862,-6.246765
25795,53.316361,-6.253863
25796,53.316322,-6.253222
25797,53.321166,-6.256285
25798,53.332746,-6.215813
25799,53.335041,-6.226663
25800,53.335041,-6.226663
28623,53.337407,-6.261284
28626,53.390997,-6.392557
28627,53.386879,-6.377293
28628,53.335313,-6.246137
28631,53.34408,-6.257226
28633,53.316934,-6.215236
28635,53.33170226,-6.278838015
28636,53.331513,-6.279688
28638,53.342664,-6.252399
28641,53.277563,-6.204825
28643,53.33633575,-6.287288155
28644,53.366488,-6.319023
28646,53.279354,-6.245165
28647,53.274973,-6.253578
28648,53.31625417,-6.237834322
28649,53.31616533,-6.237575139
28650,53.31906459,-6.21341729
28653,53.336151,-6.256104
28654,53.343865,-6.26511
28655,53.343932,-6.26682
28656,53.344037,-6.266874
28657,53.347657,-6.278784
28658,53.347819,-6.279025
28659,53.311975,-6.261119
28660,53.340479,-6.294153
28661,53.348751,-6.237228
28662,53.346659,-6.247287
28663,53.359129,-6.24067
28664,53.318517,-6.213902
28665,53.32352468,-6.295442656
28666,53.382486,-6.276406
28667,53.384284,-6.281764
28668,53.36185925,-6.216671797
98670,53.357343,-6.263846
98671,53.307743,-6.236784
98676,53.305214,-6.236036
98679,53.335832,-6.256216
98680,53.355642,-6.264692
98681,53.355275,-6.264263
98684,53.339423,-6.320007
98685,53.349883,-6.254237
98686,53.335993,-6.297875
98687,53.336015,-6.29801
98688,53.3362,-6.298993
98689,53.34593,-6.29322
98690,53.339914,-6.273857
98692,53.309258,-6.28346
98693,53.310333,-6.282051
98694,53.313467,-6.282825
98698,53.319401,-6.292128
111989,53.346885,-6.278918
112909,53.340955,-6.27473
112910,53.339919,-6.294631
112911,53.341441,-6.281367
112912,53.342514,-6.279115
112914,53.367368,-6.27125
112915,53.36149,-6.298473
112916,53.376295,-6.27195
113032,53.371155,-6.253276
113033,53.3372,-6.276762
348731,53.338068,-6.28165
348732,53.347824,-6.271848
348734,53.337646,-6.251678
348735,0,0
362169,53.452231,-6.153716
362170,53.449916,-6.157127
362171,53.450461,-6.155803
362224,53.369878,-6.34905
362225,53.373023,-6.362623
362226,53.377482,-6.391489
362227,53.391886,-6.115963
362228,53.388818,-6.074109
362229,53.388442,-6.06373
362230,53.418045,-6.150274
362231,53.459659,-6.218877
362232,53.320304,-6.286384
362233,53.330468,-6.264468
362234,53.387136,-6.441952
362235,53.383034,-6.423108
362236,53.381653,-6.371447
362237,53.377384,-6.345436
362238,53.375289,-6.332516
362240,53.31571,-6.265552
362241,53.390833,-6.429889
362242,53.341937,-6.270916
362243,53.453277,-6.219246
362244,53.341662,-6.231953
362245,53.373295,-6.362194
362246,53.396645,-6.12576
362247,53.38573,-6.373265
362248,53.399426,-6.127818
362249,53.420863,-6.13782
362250,53.420966,-6.137389
362251,53.34475,-6.244333
362255,53.446063,-6.227656
362256,53.447616,-6.221422
362257,53.448515,-6.223827
362258,53.37224,-6.389044
362269,53.364852,-6.318457
362271,53.334368,-6.224921
362273,53.320986,-6.211409
362295,0,0
362327,53.444776,-6.215511
362346,53.30271448,-6.178787792
362350,53.30271448,-6.178787792
362353,53.3090338,-6.196214662
362354,53.3010844,-6.1768905
362355,53.3019993,-6.1786169
362356,53.3022515,-6.1772537
362357,53.29827775,-6.165785801
362358,53.2950392,-6.135644
362365,53.452065,-6.15139
362366,53.288506,-6.11427
362367,53.451659,-6.153885
362369,53.451036,-6.153705
362375,53.372273,-6.3377505
